"","Country","Neighbor","land_border_proportion","total_border_proportion"
"193","FRA","CHE",0.1983286908,0.07401188323
"194","BRA","COL",0.1118413846,0.07406906501
"195","SRB","HUN",0.0746031746,0.07449432659
"196","TZA","UGA",0.1025427261,0.07492904447
"197","LBY","TUN",0.1054774241,0.07502451782
"198","DEU","FRA",0.1244444444,0.07504159734
"199","DEU","POL",0.1257777778,0.07587354409
"200","EST","LVA",0.5368956743,0.07657555907
"201","ITA","CHE",0.3833333333,0.07763323542
"202","YEM","OMN",0.1649769585,0.07886089814
"203","SDN","ERI",0.08945990959,0.07942759617
"204","MRT","DZA",0.09134157945,0.07944406314
"205","GEO",NA,0.09691629956,0.07961603614
"206","IND","NPL",0.1189262657,0.07968315338
"207","FRA","BEL",0.217270195,0.08008266598
"208","FRA","ESP",0.2155988858,0.08047016275
"209","MKD","SRB",0.08193277311,0.08093994778
"210","COG","CAF",0.08479532164,0.08231976027
"211","OMN","YEM",0.2096018735,0.08309290248
"212","LAO","CHN",0.08328055731,0.08321857171
"213","HRV","SVN",0.3076923077,0.08341633466
"214","TUR","SYR",0.3106382979,0.08346872461
"215","ARG","BRA",0.1267066267,0.08352668213
"216","TZA","BDI",0.116715298,0.0853358562
"217","LVA","BLR",0.123943662,0.08555825243
"218","MNE",NA,0.1262886598,0.08600979858
"219","GAB","CMR",0.1167192429,0.08672875437
"220","TZA","COD",0.1187994998,0.08684957427
"221","KAZ","KGZ",0.08748660236,0.0874958375
"222","CHE","AUT",0.08861859253,0.08855291577
"223","GIN","SEN",0.09943181818,0.08873353052
"224","MAR","ESH",0.2192982456,0.08926052791
"225","CAF","COG",0.08953380673,0.08958373298
"226","KOR","PRK",1,0.08977744247
"227","TZA","MWI",0.1229679033,0.08987701041
"228","ESP","FRA",0.3246644295,0.09052600988
"229","SSD","UGA",0.09057363301,0.09068167605
"230","COG","CMR",0.09502923977,0.09219108056
"231","CHN","IND",0.1525940997,0.09223128769
"232","GEO","ARM",0.1123348018,0.09260304912
"233","CAF","SDN",0.09262117938,0.09265298293
"234","SDN","ETH",0.1068284559,0.09491925955
"235","IRQ","TUR",0.09647577093,0.09492988134
"236","VEN","GUY",0.1488881727,0.09534197357
"237","SAU","OMN",0.1525608427,0.09560175364
"238","BFA","BEN",0.09576612903,0.09583463827
"239","DEU","NLD",0.1595555556,0.09600665557
"240","QAT","SAU",1,0.0963081862
"241","GTM","SLV",0.1202290076,0.0972688069
"242","USA","MEX",0.2610323616,0.09828524939
"243","BRA","VEN",0.1533574324,0.09917951492
"244","THA","KHM",0.1651224355,0.0993565949
"245","CHN","RUS",0.1645836361,0.09946243894
"246","TKM","KAZ",0.1012494614,0.1014453961
"247","GAB","GNQ",0.1388012618,0.101862631
"248","BEL","LUX",0.1068524971,0.101963486
"249","ALB",NA,0.1555555556,0.1035120148
"250","GIN","GNB",0.1136363636,0.1037913418
"251","SEN","GIN",0.1280487805,0.1040681173
"252","CMR","COG",0.113915177,0.1047466453
"253","SAU","JOR",0.167816927,0.1052184981
"254","LAO","KHM",0.1063964535,0.1064332087
"255","SEN","GNB",0.1280487805,0.1065909808
"256","MOZ","TZA",0.1654929577,0.1073711121
"257","PAN","CRI",0.6086956522,0.1083743842
"258","HND","GTM",0.1691489362,0.1088435374
"259","JOR","IRQ",0.1102362205,0.1089704997
"260","NER","BFA",0.1101694915,0.1102334562
"261","BGR","TUR",0.1335707925,0.1110083256
"262","BOL","PRY",0.1121718377,0.1112264571
"263","SWE","FIN",0.2752161383,0.1126398826
"264","PER","BOL",0.1627906977,0.1132075472
"265","MLI","NER",0.1133081537,0.1133508215
"266","TJK","CHN",0.1132657558,0.1133935908
"267","CZE","SVK",0.1146278871,0.1143009038
"268","BEL","DEU",0.1207897793,0.115053393
"269","SAU","IRQ",0.1837994915,0.115118088
"270","IRN","PAK",0.1671597633,0.1153553299
"271","HRV","BIH",0.4241758242,0.1160358566
"272","PAK","IRN",0.1342361606,0.1162404092
"273","LBN","ISR",0.1737588652,0.11634757
"274","OMN","ARE",0.2927400468,0.1182919792
"275","MLI","GIN",0.1184181293,0.118459202
"276","ZAF","LSO",0.1870241642,0.1186684073
"277","RUS","KAZ",0.3420164014,0.1187099012
"278","IRN","AFG",0.1721893491,0.1187817259
"279","SRB","HRV",0.119047619,0.1188949186
"280","UKR","BLR",0.1912323093,0.119677636
"281","GTM","HND",0.1517175573,0.1226641112
"282","BOL","ARG",0.1233890215,0.1233872164
"283","IRN","TKM",0.1822485207,0.1258883249
"284","BEN","NER",0.1334951456,0.1260663507
"285","POL","BLR",0.146073903,0.1260842627
"286","UKR","MDA",0.2012426648,0.1261249161
"287","ZAF","NAM",0.1989407481,0.1262402089
"288","SOM","KEN",0.2924137931,0.1271202237
"289","GTM","BLZ",0.1574427481,0.127455678
"290","KAZ","CHN",0.1276795284,0.1276223776
"291","CHN","MNG",0.2111611684,0.1276229978
"292","BOL","CHL",0.1276849642,0.1276879727
"293","DZA","NER",0.147761194,0.1280128548
"294","ARG","PRY",0.1948051948,0.1282926164
"295","AUT","SVN",0.1319095477,0.1288056206
"296","DEU","AUT",0.2164444444,0.1304492512
"297","ARM","GEO",0.1309370988,0.1307814992
"298","CAF","SSD",0.1309046002,0.1308267792
"299","SSD","COD",0.130828581,0.1309151553
"300","DZA","LBY",0.1517412935,0.131494376
"301","LVA","RUS",0.1901408451,0.1316747573
"302","SEN","MLI",0.1585365854,0.1321349732
"303","BOL","PER",0.1336515513,0.1334717485
"304","AFG","TKM",0.1344586729,0.1345632122
"305","MNE","SRB",0.1984536082,0.1350027218
"306","DZA","TUN",0.1567164179,0.1352437065
"307","DEU","CZE",0.2248888889,0.1356073211
"308","ETH","SDN",0.1356085775,0.1356981982
"309","IND","PAK",0.2048929664,0.1373002027
"310","PNG","IDN",1,0.1373074347
"311","POL","SVK",0.1593533487,0.1375464684
"312","MLI","BFA",0.1377471673,0.138064338
"313","ECU","COL",0.296,0.1389215917
"314","MRT","SEN",0.1601649223,0.1394989705
"315","ALB","MKD",0.2088888889,0.1395563771
"316","BLR","POL",0.1405555556,0.1403448276
"317","ZMB","ZWE",0.1405850611,0.140638786
"318","SVK","CZE",0.141499472,0.1410761155
"319","AZE","RUS",0.14068745,0.1410829608
"320","POL","DEU",0.1633949192,0.1412639405
"321","AUT","CZE",0.1413316583,0.1412958626
"322","LBR","SLE",0.192893401,0.1414048059
"323","SSD","CAF",0.1422341496,0.142172191
"324","GEO","TUR",0.172907489,0.1422924901
"325","AUT","HUN",0.1425879397,0.1428571429
"326","TZA","MOZ",0.1959149646,0.1430463576
"327","JOR","ISR",0.1456692913,0.1432871764
"328","NER","MLI",0.1440677966,0.1441109356
"329","NIC","CRI",0.2509803922,0.1443250817
"330","BEN","BFA",0.1537216828,0.1450236967
"331","HND","SLV",0.2265957447,0.1454081633
"332","TZA","KEN",0.1992496874,0.1455061495
"333","COD","CAF",0.1469265367,0.1464660537
"334","CIV","MLI",0.1715025907,0.1467586207
"335","UGA","TZA",0.146778043,0.1467753892
"336","BGR","SRB",0.1763134461,0.1470860315
"337","ZMB","MWI",0.1476853167,0.1476971943
"338","DJI","ERI",0.237804878,0.148456057
"339","SRB","BIH",0.1492063492,0.1489886532
"340","GIN","LBR",0.165719697,0.1513847809
"341","HUN","HRV",0.1512231282,0.1515430677
"342","VNM","KHM",0.2646548734,0.1519237907
"343","BIH","MNE",0.1543550165,0.1521298174
"344","CAF","CMR",0.152824946,0.1528870132
"345","BRA","BOL",0.2300361485,0.1532774322
"346","SYR","LBN",0.1664285714,0.153311529
"347","SYR","JOR",0.1664285714,0.153311529
"348","FIN","SWE",0.228742515,0.1558375635
"349","ERI","SDN",0.3722772277,0.1567357513
